,,"DGIF_1
(Academic Level)","DGIF_2
(Age)","DGIF_3
(Gender)","DGIF_4
(Family Income)","DGIF_5 
(No. of Family Members)",BIF_1 (Who influence your decision in subject selection),BIF_2 (Factor influencing decision),SGIF_1 (Dependency),"IAIF_1
(Adequate support and guidance )","ESIF_2
(What Decide Future Goal)",Predicted Mood,Overall,Mood Swing Type,Swing Type,Zone Switch
1058,,Post Graduate,21-25 Yrs.,Male,500000,3,Family/Society,Academic Performance,Friends and Peers,Not Sure,Recent Trends,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
1059,,Post Graduate,Less than 20 Yrs. ,Female,100000,6,Subject Matter Expert (SME),Parental Expectations,Online Resources,No,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
1060,,Professional,21-25 Yrs.,Female,1000000,3,Family/Society,Career Prospects,Academic Advisors,Yes,Family Professional Goals,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
1061,,Senior Secondary,Less than 20 Yrs. ,Male,300000,4,Your own decision,Parental Expectations,Academic Advisors,Not Sure,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
1062,,Senior Secondary,Less than 20 Yrs. ,Male,200000,5,Subject Matter Expert (SME),Parental Expectations,Family Members,Yes,Financial Stability,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
1063,,Senior Secondary,Less than 20 Yrs. ,Female,300000,3,Your own decision,Parental Expectations,Friends and Peers,No,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
1064,,Post Graduate,Less than 20 Yrs. ,Male,1000000,4,Family/Society,Parental Expectations,Family Members,Yes,Career Preferences,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
1065,,Senior Secondary,Less than 20 Yrs. ,Female,200000,3,Family/Society,Personal Interest,Online Resources,Yes,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
1066,,Professional,21-25 Yrs.,Male,200000,3,Family/Society,Academic Performance,Online Resources,No,Family Professional Goals,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
1067,,Professional,More than 25 Yrs.,Female,100000,5,Subject Matter Expert (SME),Personal Interest,Previous Students' Experiences,No,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
1068,,Working Professionals,More than 25 Yrs.,Female,500000,6,Family/Society,Academic Performance,Family Members,Yes,Hobbies/interest areas,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
1069,,Professional,21-25 Yrs.,Male,1000000,4,Family/Society,Academic Performance,Friends and Peers,No,Career Preferences,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
1070,,Senior Secondary,Less than 20 Yrs. ,Male,100000,4,Teachers,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
1071,,Post Graduate,Less than 20 Yrs. ,Female,300000,4,Subject Matter Expert (SME),Career Prospects,Previous Students' Experiences,Not Sure,Recent Trends,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
1072,,Professional,21-25 Yrs.,Female,200000,5,Family/Society,Parental Expectations,Academic Advisors,No,Career Preferences,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1073,,Senior Secondary,Less than 20 Yrs. ,Female,500000,6,Teachers,Academic Performance,Academic Advisors,Yes,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
1074,,Professional,21-25 Yrs.,Male,200000,6,Subject Matter Expert (SME),Career Prospects,Friends and Peers,Not Sure,Financial Stability,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
1075,,Professional,21-25 Yrs.,Female,1000000,3,Subject Matter Expert (SME),Career Prospects,Previous Students' Experiences,Yes,Recent Trends,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
1076,,Senior Secondary,Less than 20 Yrs. ,Female,1000000,4,Subject Matter Expert (SME),Parental Expectations,Family Members,Yes,Financial Stability,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
1077,,Professional,More than 25 Yrs.,Male,300000,6,Family/Society,Academic Performance,Family Members,Not Sure,Hobbies/interest areas,Happy,Happy,Neutral,Neutral_swing,Positive_zone
1078,,Working Professionals,More than 25 Yrs.,Female,1000000,3,Teachers,Career Prospects,Friends and Peers,Yes,Career Preferences,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
1079,,Professional,More than 25 Yrs.,Male,500000,3,Family/Society,Parental Expectations,Online Resources,Yes,Financial Stability,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
1080,,Working Professionals,More than 25 Yrs.,Male,500000,3,Family/Society,Career Prospects,Friends and Peers,No,Financial Stability,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
1081,,Professional,21-25 Yrs.,Male,200000,6,Family/Society,Personal Interest,Family Members,Not Sure,Financial Stability,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
1082,,Professional,More than 25 Yrs.,Female,200000,4,Teachers,Academic Performance,Academic Advisors,Yes,Financial Stability,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1083,,Professional,21-25 Yrs.,Female,200000,3,Family/Society,Personal Interest,Friends and Peers,Yes,Career Preferences,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1084,,Working Professionals,More than 25 Yrs.,Female,100000,5,Your own decision,Academic Performance,Academic Advisors,Not Sure,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
1085,,Working Professionals,More than 25 Yrs.,Male,300000,4,Family/Society,Parental Expectations,Previous Students' Experiences,Yes,Hobbies/interest areas,Happy,Happy,Neutral,Neutral_swing,Positive_zone
1086,,Professional,More than 25 Yrs.,Male,300000,4,Your own decision,Parental Expectations,Previous Students' Experiences,Yes,Recent Trends,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
1087,,Senior Secondary,Less than 20 Yrs. ,Male,200000,6,Family/Society,Career Prospects,Friends and Peers,Yes,Family Professional Goals,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1088,,Post Graduate,Less than 20 Yrs. ,Female,200000,3,Subject Matter Expert (SME),Personal Interest,Family Members,Not Sure,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
1089,,Working Professionals,More than 25 Yrs.,Female,500000,5,Family/Society,Career Prospects,Family Members,Yes,Hobbies/interest areas,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
1090,,Working Professionals,More than 25 Yrs.,Male,500000,6,Family/Society,Parental Expectations,Previous Students' Experiences,Yes,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
1091,,Post Graduate,Less than 20 Yrs. ,Male,1000000,3,Subject Matter Expert (SME),Career Prospects,Previous Students' Experiences,No,Recent Trends,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
1092,,Post Graduate,More than 25 Yrs.,Male,300000,6,Teachers,Personal Interest,Academic Advisors,Not Sure,Financial Stability,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
1093,,Post Graduate,More than 25 Yrs.,Male,100000,3,Family/Society,Career Prospects,Family Members,Not Sure,Recent Trends,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1094,,Professional,21-25 Yrs.,Male,1000000,6,Subject Matter Expert (SME),Career Prospects,Friends and Peers,Not Sure,Family Professional Goals,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
1095,,Professional,More than 25 Yrs.,Female,1000000,3,Subject Matter Expert (SME),Personal Interest,Academic Advisors,No,Career Preferences,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
1096,,Working Professionals,More than 25 Yrs.,Male,500000,4,Family/Society,Personal Interest,Academic Advisors,No,Hobbies/interest areas,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
1097,,Working Professionals,More than 25 Yrs.,Female,500000,4,Teachers,Career Prospects,Previous Students' Experiences,Yes,Recent Trends,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
1098,,Professional,More than 25 Yrs.,Male,500000,3,Family/Society,Parental Expectations,Previous Students' Experiences,Yes,Family Professional Goals,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
1099,,Post Graduate,21-25 Yrs.,Female,100000,4,Teachers,Personal Interest,Family Members,No,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
1100,,Professional,21-25 Yrs.,Male,200000,5,Your own decision,Career Prospects,Friends and Peers,No,Recent Trends,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
1101,,Post Graduate,Less than 20 Yrs. ,Male,1000000,4,Family/Society,Parental Expectations,Family Members,Yes,Family Professional Goals,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
1102,,Working Professionals,More than 25 Yrs.,Female,200000,6,Subject Matter Expert (SME),Academic Performance,Online Resources,No,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
1103,,Post Graduate,More than 25 Yrs.,Female,100000,3,Your own decision,Academic Performance,Friends and Peers,No,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
1104,,Post Graduate,21-25 Yrs.,Female,100000,5,Teachers,Academic Performance,Online Resources,No,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
1105,,Post Graduate,Less than 20 Yrs. ,Male,500000,5,Your own decision,Personal Interest,Online Resources,No,Recent Trends,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
1106,,Working Professionals,More than 25 Yrs.,Female,300000,4,Teachers,Personal Interest,Friends and Peers,Yes,Financial Stability,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
1107,,Professional,21-25 Yrs.,Male,1000000,4,Your own decision,Academic Performance,Family Members,Yes,Financial Stability,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
1108,,Working Professionals,More than 25 Yrs.,Male,500000,5,Family/Society,Academic Performance,Family Members,Yes,Recent Trends,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
1109,,Post Graduate,More than 25 Yrs.,Male,500000,4,Teachers,Parental Expectations,Previous Students' Experiences,No,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
1110,,Professional,More than 25 Yrs.,Female,500000,3,Subject Matter Expert (SME),Personal Interest,Family Members,Yes,Recent Trends,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
1111,,Professional,21-25 Yrs.,Female,200000,6,Teachers,Parental Expectations,Previous Students' Experiences,Not Sure,Family Professional Goals,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1112,,Post Graduate,Less than 20 Yrs. ,Male,300000,5,Subject Matter Expert (SME),Personal Interest,Family Members,Yes,Family Professional Goals,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
1113,,Professional,More than 25 Yrs.,Male,200000,6,Your own decision,Career Prospects,Academic Advisors,Not Sure,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
1114,,Senior Secondary,Less than 20 Yrs. ,Female,300000,3,Your own decision,Parental Expectations,Family Members,No,Family Professional Goals,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
1115,,Professional,21-25 Yrs.,Male,300000,5,Teachers,Parental Expectations,Academic Advisors,Not Sure,Recent Trends,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
1116,,Senior Secondary,Less than 20 Yrs. ,Male,200000,3,Subject Matter Expert (SME),Academic Performance,Previous Students' Experiences,No,Hobbies/interest areas,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1117,,Post Graduate,21-25 Yrs.,Male,500000,3,Your own decision,Parental Expectations,Academic Advisors,Not Sure,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
1118,,Post Graduate,Less than 20 Yrs. ,Female,100000,6,Your own decision,Parental Expectations,Previous Students' Experiences,Yes,Recent Trends,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1119,,Senior Secondary,Less than 20 Yrs. ,Male,100000,6,Teachers,Personal Interest,Family Members,No,Family Professional Goals,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1120,,Senior Secondary,Less than 20 Yrs. ,Male,100000,3,Teachers,Personal Interest,Academic Advisors,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
1121,,Post Graduate,Less than 20 Yrs. ,Female,200000,6,Teachers,Personal Interest,Friends and Peers,Yes,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
1122,,Senior Secondary,Less than 20 Yrs. ,Male,500000,4,Family/Society,Personal Interest,Family Members,Yes,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
1123,,Professional,More than 25 Yrs.,Female,100000,6,Subject Matter Expert (SME),Career Prospects,Previous Students' Experiences,No,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
1124,,Professional,21-25 Yrs.,Male,300000,4,Teachers,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
1125,,Professional,21-25 Yrs.,Male,100000,4,Family/Society,Parental Expectations,Online Resources,Not Sure,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
1126,,Professional,21-25 Yrs.,Female,100000,6,Your own decision,Academic Performance,Friends and Peers,Yes,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
1127,,Senior Secondary,Less than 20 Yrs. ,Male,500000,3,Family/Society,Career Prospects,Online Resources,Yes,Hobbies/interest areas,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
1128,,Working Professionals,More than 25 Yrs.,Male,1000000,6,Teachers,Academic Performance,Academic Advisors,No,Family Professional Goals,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
1129,,Senior Secondary,Less than 20 Yrs. ,Female,200000,5,Family/Society,Academic Performance,Family Members,No,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
1130,,Working Professionals,More than 25 Yrs.,Male,100000,6,Family/Society,Personal Interest,Online Resources,No,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
1131,,Senior Secondary,Less than 20 Yrs. ,Male,500000,4,Teachers,Personal Interest,Friends and Peers,Yes,Hobbies/interest areas,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
1132,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Teachers,Parental Expectations,Previous Students' Experiences,No,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
1133,,Senior Secondary,Less than 20 Yrs. ,Male,300000,6,Subject Matter Expert (SME),Career Prospects,Family Members,Not Sure,Family Professional Goals,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
1134,,Working Professionals,More than 25 Yrs.,Female,300000,6,Teachers,Career Prospects,Previous Students' Experiences,Not Sure,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
1135,,Senior Secondary,Less than 20 Yrs. ,Female,200000,6,Subject Matter Expert (SME),Academic Performance,Friends and Peers,Yes,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
1136,,Post Graduate,More than 25 Yrs.,Male,500000,6,Subject Matter Expert (SME),Career Prospects,Previous Students' Experiences,No,Career Preferences,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
1137,,Post Graduate,More than 25 Yrs.,Male,200000,3,Subject Matter Expert (SME),Academic Performance,Family Members,No,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
1138,,Professional,21-25 Yrs.,Male,300000,5,Family/Society,Parental Expectations,Academic Advisors,Not Sure,Family Professional Goals,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
1139,,Senior Secondary,Less than 20 Yrs. ,Male,1000000,6,Teachers,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
1140,,Working Professionals,More than 25 Yrs.,Male,1000000,5,Family/Society,Career Prospects,Online Resources,Yes,Financial Stability,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
1141,,Professional,21-25 Yrs.,Female,300000,4,Teachers,Personal Interest,Friends and Peers,No,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
1142,,Senior Secondary,Less than 20 Yrs. ,Male,200000,4,Your own decision,Career Prospects,Academic Advisors,Yes,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
1143,,Post Graduate,More than 25 Yrs.,Female,500000,4,Your own decision,Career Prospects,Online Resources,Yes,Hobbies/interest areas,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
1144,,Professional,More than 25 Yrs.,Male,500000,5,Teachers,Academic Performance,Academic Advisors,No,Financial Stability,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
1145,,Post Graduate,More than 25 Yrs.,Male,500000,6,Family/Society,Personal Interest,Previous Students' Experiences,Yes,Hobbies/interest areas,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
